gene	cluster_name	orthologous_to
Tetwil_Twilhelma_g5103.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Skow_XP_006819064.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Spur_XP_030856400.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Lpol_XP_022243922.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Dpul_EFX82823	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Lgig_LotgiP52553	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Nvec_NVE457	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Linana_g7007.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hydvul_Sc4wPfr_106.g23544.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Emul_CDI97327.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Ctel_CapteP226024	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Ramvar_GAU93306.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Aque_Aqu2.1.31947_001	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Spun_KND01460	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Drer_ENSDARP00000152899.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2B
Drer_ENSDARP00000131255.2	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A
Umbram_174584	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Klenit_GAQ85343.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Bralan_BL21875_evm12	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Emue_0005g1222a	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Porpur_KAA8496554.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Clyhem_TCONS_00066154-protein	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Morvir_scaffold61.g59.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Mvib_comp13484_c2_seq1_fr6	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Ramvar_GAU93307.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Helrob_HelroP104360	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Amac_KNE62073	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Ttra_KNC51570	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Tadh_P19587	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Emue_0015g84a	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Diprot_Gene.21815	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Tmel_CAZ83162	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Lpol_XP_022243924.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Umay_KIS67423	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Morelo_OAQ25550	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Cneo_AAW44468	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Clyhem_TCONS_00065612-protein	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Clim_evm3s239	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Scil_scpid33140	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Apla_XP_022085616.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Aano_EGB13194	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Tetwil_Twilhelma_g9042.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Emue_0001g106a	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cgig_EKC23553	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Hsap_ENSP00000366271.3	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2B
Ramvar_GAU93788.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Smoe_EFJ37823	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Nk52_evm46s208	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Rirr_GBC31426	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Sacu_v1.1_s0001.g000659	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Plebac_Pbla_mRNA_15689	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Lcom_lcpid48482	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Drer_ENSDARP00000104491.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A
Sros_EGD77623	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Scil_scpid74164	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Plamic_ANCSI_02395.mRNA.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Apla_XP_022085617.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Sros_EGD82655	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Hduj_OQV18915.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Esil_CBJ48573	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Coka_g14475.t1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Exapal_XP_020902878.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hydvul_Sc4wPfr_106.g23544.t2	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Dmel_FBpp0289915	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Acas_ELR20212	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Sphfal_Sphfalx05G099800.2.p	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Dpul_EFX71856	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Cscu_XP_023230315.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Spis_XP_022780880_1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Cfra_CFRG5440T1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Pbla_XP_018283993.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Drer_ENSDARP00000050378.6	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A
Tadh_P49824	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Morvir_scaffold61.g59.t2	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Sphfal_Sphfalx05G099800.1.p	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hsap_ENSP00000432786.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A
Marpol_PTQ27593	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Helrob_HelroP88624	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cscu_XP_023242355.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Ppat_Pp3c9_3630V3.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Plamic_ANCSI_11133.mRNA.1	OG0:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Maljak_MALJA_09493.mRNA.1	OG1:NA	NA
Gefoke_MALSP_17303.mRNA.1	OG1:NA	NA
Maljak_MALJA_23287.mRNA.1	OG1:NA	NA
Malcal_MALCA_09068.mRNA.1	OG1:NA	NA
Emue_0007g634a	OG2:NA	NA
Gefoke_MALSP_02491.mRNA.1	OG2:NA	NA
