gene	cluster_name	orthologous_to
Plamic_ANCSI_02395.mRNA.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Sros_EGD82655	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Sphfal_Sphfalx05G099800.1.p	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Helrob_HelroP88624	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Ramvar_GAU93788.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Tetwil_Twilhelma_g9042.t2	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Plafun_PRP79815	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Ppat_Pp3c9_3630V3.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Emue_0015g84a	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Bralan_BL21875_evm12	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Drer_ENSDARP00000131255.2	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A
Umay_KIS67423	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Morvir_scaffold141.g5.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Mvib_comp13484_c2_seq1_fr6	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cfra_CFRG5440T1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Dpul_EFX82823	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Aque_Aqu2.1.31947_001	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Lgig_LotgiP125461	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Hsap_ENSP00000350676.5	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHF8
Hsap_ENSP00000352185.4	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHF2
Lpol_XP_022243924.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Ptyfla_pfl_40v0_9_20150316_1g7392.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Sacu_v1.1_s0001.g000659	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Adig_XP_015761842.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cscu_XP_023242355.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Rirr_GBC31426	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Porpur_KAA8496554.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Cmer_CMB082CT	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Scil_scpid33140	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Cscu_XP_023230315.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Sros_EGD77623	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hydvul_Sc4wPfr_106.g23544.t2	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Lcom_lcpid48482	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Lpol_XP_022243922.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Dmel_FBpp0289915	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Cgig_EKC23553	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Plebac_Pbla_mRNA_15689	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Tcas_XP_970863.2	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Lgig_LotgiP52553	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hydvul_Sc4wPfr_132.g22646.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Auraur_scaffold2276.g3.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Marpol_PTQ27593	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Coka_g14475.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Apla_XP_022085616.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Cneo_AAW44468	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Tetwil_Twilhelma_g5103.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cint_ENSCINP00000005646.3	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Sphfal_Sphfalx05G099800.2.p	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Emue_0005g1222a	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Gpro_KXS22114	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B/KDM7A/PHF2/PHF8
Lpol_XP_022242531.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Linana_g17968.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Hsap_ENSP00000380692.2	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A
Smoe_EFJ37823	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Plamic_ANCSI_11133.mRNA.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Clyhem_TCONS_00065612-protein	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Aque_Aqu2.1.28819_001	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Nvec_NVE23290	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Scil_scpid74164	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Tetwil_Twilhelma_g9042.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Nvec_NVE457	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Auraur_scaffold2276.g3.t2	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Emue_0005g1227a	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Ttra_KNC51570	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Ccin_EAU88440	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Helrob_HelroP104360	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Tadh_P49824	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Ctel_CapteP225898	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Spis_XP_022796965_1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Nk52_evm46s208	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Coerev_PIA18176.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Tcas_XP_008190490.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Umbram_174584	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Spur_XP_780290.4	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Morvir_scaffold61.g59.t2	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Phatri_Phatr3_J42595.p1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hydvul_Sc4wPfr_106.g23544.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Exapal_XP_020902878.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Sarc_Sarc4_g23913T	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Linana_g7007.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Clim_evm3s239	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Dpul_EFX71856	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Clyhem_TCONS_00066154-protein	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Ramvar_GAU93307.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cang_ORZ30903	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Cocsub_XP_005644157.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Rhidel_EIE82251	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Mbre_EDQ91844	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Spun_KND01460	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Aano_EGB13194	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Lcom_lcpid58276	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Ctel_CapteP226024	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Tcas_XP_969145.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Hsap_ENSP00000366271.3	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2B
Spis_XP_022780880_1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Phoaus_g6992.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Hsap_ENSP00000432786.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A
Aano_EGB07333	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Esil_CBJ48573	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Morelo_OAQ25550	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Drer_ENSDARP00000104491.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A
Acas_ELR20212	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Emue_0005g1221a	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Morvir_scaffold61.g59.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hduj_OQV18915.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Lpol_XP_013778988.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Emue_0001g106a	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Pbla_XP_018283993.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Tadh_P19587	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Scil_scpid71096	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Drer_ENSDARP00000050378.6	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A
Tmel_CAZ83162	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Malcal_MALCA_09068.mRNA.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B/KDM7A/PHF2/PHF8
Gefoke_MALSP_17303.mRNA.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B/KDM7A/PHF2/PHF8
Maljak_MALJA_09493.mRNA.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B/KDM7A/PHF2/PHF8
